,bootstrap_num,speech_type,speech_metric,embeddings,assoc,corr
141,23,CS,OR,Word2Vec,WEAT,"(0.0819935628874113, 3.965721594173404e-05)"
142,23,CDS,LOR,Word2Vec,WEAT,"(0.1556906243885201, 4.58447552745501e-15)"
143,23,CS,LOR,Word2Vec,WEAT,"(0.18023822193186984, 9.653976817590435e-20)"
144,24,CDS,pfgw,Word2Vec,WEAT,"(0.16497117017508672, 1.1510519447892692e-16)"
145,24,CS,pfgw,Word2Vec,WEAT,"(0.20959551549323097, 3.874432807565114e-26)"
146,24,CDS,OR,Word2Vec,WEAT,"(0.13325029522039827, 2.41714591464915e-11)"
147,24,CS,OR,Word2Vec,WEAT,"(0.11705024335501854, 4.6185544721571065e-09)"
148,24,CDS,LOR,Word2Vec,WEAT,"(0.15791892136512076, 2.2065378209923797e-15)"
149,24,CS,LOR,Word2Vec,WEAT,"(0.17541910479822725, 1.134438801598843e-18)"
150,25,CDS,pfgw,Word2Vec,WEAT,"(0.16781978736854475, 3.1278504027064126e-17)"
151,25,CS,pfgw,Word2Vec,WEAT,"(0.2142544936134297, 2.567091138884968e-27)"
152,25,CDS,OR,Word2Vec,WEAT,"(0.11973904503406643, 1.949405699714021e-09)"
153,25,CS,OR,Word2Vec,WEAT,"(0.14500414214983276, 3.3199940619573754e-13)"
154,25,CDS,LOR,Word2Vec,WEAT,"(0.1628848299395254, 2.611618572475516e-16)"
155,25,CS,LOR,Word2Vec,WEAT,"(0.18428310017391641, 1.6380006970838146e-20)"
156,26,CDS,pfgw,Word2Vec,WEAT,"(0.15896713295775053, 1.24346052171378e-15)"
157,26,CS,pfgw,Word2Vec,WEAT,"(0.20868860090950003, 4.980258100419289e-26)"
158,26,CDS,OR,Word2Vec,WEAT,"(0.15587655113626236, 4.41349034325511e-15)"
159,26,CS,OR,Word2Vec,WEAT,"(0.13038312561073073, 5.840020075906685e-11)"
160,26,CDS,LOR,Word2Vec,WEAT,"(0.15342695940694423, 1.183067040455196e-14)"
161,26,CS,LOR,Word2Vec,WEAT,"(0.1798998386913813, 1.190344225901857e-19)"
162,27,CDS,pfgw,Word2Vec,WEAT,"(0.17824050165428235, 3.0980533525163447e-19)"
163,27,CS,pfgw,Word2Vec,WEAT,"(0.21118212939643824, 1.6117447640447048e-26)"
164,27,CDS,OR,Word2Vec,WEAT,"(0.16641700509773194, 6.180592250509681e-17)"
165,27,CS,OR,Word2Vec,WEAT,"(0.13150150057389037, 4.401583381517144e-11)"
166,27,CDS,LOR,Word2Vec,WEAT,"(0.17023590667151375, 1.1641838859265303e-17)"
167,27,CS,LOR,Word2Vec,WEAT,"(0.18481450112412603, 1.3843286464338835e-20)"
168,28,CDS,pfgw,Word2Vec,WEAT,"(0.1705991106087532, 7.802062737405443e-18)"
169,28,CS,pfgw,Word2Vec,WEAT,"(0.20502532786899413, 3.293221639689894e-25)"
170,28,CDS,OR,Word2Vec,WEAT,"(0.15211507128680973, 1.8779034061217692e-14)"
171,28,CS,OR,Word2Vec,WEAT,"(0.12462193269097183, 3.79161043401919e-10)"
172,28,CDS,LOR,Word2Vec,WEAT,"(0.16408562577069274, 1.3462571983219924e-16)"
173,28,CS,LOR,Word2Vec,WEAT,"(0.17747868856637228, 3.401408096335424e-19)"
174,29,CDS,pfgw,Word2Vec,WEAT,"(0.17164236545451206, 6.425169792942433e-18)"
175,29,CS,pfgw,Word2Vec,WEAT,"(0.23503968815014306, 1.3419907199554753e-32)"
176,29,CDS,OR,Word2Vec,WEAT,"(0.17797365948900135, 3.6220271469343466e-19)"
177,29,CS,OR,Word2Vec,WEAT,"(0.1337013137455987, 2.1067624392462326e-11)"
178,29,CDS,LOR,Word2Vec,WEAT,"(0.16377959293741254, 1.967089106860242e-16)"
179,29,CS,LOR,Word2Vec,WEAT,"(0.2064259930475016, 2.2855676471431097e-25)"
180,30,CDS,pfgw,Word2Vec,WEAT,"(0.1794269835832495, 1.7540852674291724e-19)"
181,30,CS,pfgw,Word2Vec,WEAT,"(0.2029672500001563, 1.3708768958766081e-24)"
182,30,CDS,OR,Word2Vec,WEAT,"(0.15138780536335114, 2.988224721919263e-14)"
183,30,CS,OR,Word2Vec,WEAT,"(0.12846411897343252, 1.2131302407940397e-10)"
184,30,CDS,LOR,Word2Vec,WEAT,"(0.17447753058375498, 1.7140412525604358e-18)"
185,30,CS,LOR,Word2Vec,WEAT,"(0.17820856436548982, 3.0933483046124256e-19)"
186,31,CDS,pfgw,Word2Vec,WEAT,"(0.16582785031126115, 8.673802441486218e-17)"
187,31,CS,pfgw,Word2Vec,WEAT,"(0.2141243037013726, 3.584425484419142e-27)"
188,31,CDS,OR,Word2Vec,WEAT,"(0.1586740137618876, 1.74925818900571e-15)"
189,31,CS,OR,Word2Vec,WEAT,"(0.12709340401278435, 2.0245271348635353e-10)"
190,31,CDS,LOR,Word2Vec,WEAT,"(0.15962765778530572, 1.1812517219203895e-15)"
191,31,CS,LOR,Word2Vec,WEAT,"(0.19165264123873627, 5.394944431965138e-22)"
192,32,CDS,pfgw,Word2Vec,WEAT,"(0.17312957456198994, 4.357294998624566e-18)"
193,32,CS,pfgw,Word2Vec,WEAT,"(0.22174256088366215, 6.509541134998786e-29)"
