,age,word,pfgw,OR,LOR,freq
978,2,ask,0.6791533511987503,2.116933358349639,0.7499685123703478,27
979,2,roar,0.2805384405924267,0.3898901741659621,-0.9418901842191559,26
980,2,because,0.4132239469029332,0.7037698997134276,-0.3513038232481886,433
981,2,hay,0.30352525686889853,0.4357669634345903,-0.8306476660578261,24
982,2,scissors,0.2538385728364732,0.34013951850036755,-1.07839939701137,37
983,2,dry,0.34605835791687356,0.529150586049171,-0.6364822259136377,27
984,2,tacos,0.0,1.0,0.0,26
985,2,writing,0.4985540374626802,0.9942312305823573,-0.005785473038474986,64
986,2,please,0.3942704461117406,0.6505177871975103,-0.42998663751792576,323
987,2,bigger,0.18600792577927464,0.22838222656852825,-1.4767346213537245,107
988,2,turn,0.31686080047419224,0.4633031338677124,-0.7693737223525123,361
989,2,squirt,0.0,1.0,0.0,49
990,2,any,0.37473498476951034,0.5991535535697635,-0.5122373638526511,130
991,2,else,0.2750566487520779,0.3793127804455707,-0.9693941360340327,72
992,2,something,0.5183082591914218,1.0760994309459295,0.07334286541255547,242
993,2,clock,0.3937404456129208,0.6493739734773349,-0.4317464979155194,71
994,2,yummy,0.5616328953348056,1.2812508523323103,0.24783682913933386,42
995,2,sticky,1.0,1.0,0.0,33
996,2,porcupine,0.8355319702225376,5.081083978877959,1.6255246204966498,29
997,2,mm,0.37772644114516657,0.6065991049279461,-0.49988715928438937,321
998,2,taste,0.3912038565673909,0.6425316785280333,-0.44233915832622145,45
999,2,egg,0.6150798720752311,1.5983531360840544,0.46897380921560117,128
1000,2,thirsty,0.6599053140585837,1.9405424562720204,0.6629675506248534,34
1001,2,peanutbutter,0.8151538251960139,4.410665356206814,1.4840255525016672,31
1002,2,wind,0.47244853755485183,0.8955394044017698,-0.11032905576741685,24
1003,2,tomorrow,0.3669232623240646,0.5795009449608187,-0.5455879855551378,65
1004,2,clean,0.587345440678774,1.423481961769638,0.3531059559097164,68
1005,2,party,0.8120903192956639,4.323160196372822,1.4639866617587576,61
1006,2,wipe,0.42557252887659647,0.7408314050620471,-0.29998220310645574,34
1007,2,pizza,0.6701937915295972,2.0325263411887717,0.7092795223503242,73
1008,2,wa,0.1677732483941142,0.20156706700511023,-1.601633114238885,25
1009,2,guy,0.4530423006452641,0.8282673372901049,-0.18841930558522677,41
1010,2,wearing,0.5852634438811739,1.4112132555487062,0.34444979933051684,21
1011,2,tea,0.4597082865085468,0.8507973571184264,-0.16158130200969673,92
1012,2,pie,0.2710637859774507,0.3717891944047109,-0.9894282670415208,50
1013,2,pen,0.2443665272907956,0.32319342181555355,-1.1295043058357883,141
1014,2,raisins,0.09156795044448866,0.10078173288021157,-2.294798161193928,23
1015,2,cry,0.6344679319854682,1.7360076494137833,0.5515880225727957,66
1016,2,high,0.427619498770612,0.7470624496481876,-0.2916064967436718,29
1017,2,walk,0.5111147681900176,1.0455027707861289,0.044497890084979994,163
1018,2,weasel,0.5525272646116333,1.2348023931410124,0.2109109517238501,26
1019,2,Mama,0.7786409156020255,3.525193669747884,1.2599353765274375,441
1020,2,bite,0.6266991778862379,1.6793630309732264,0.5184145732900818,150
1021,2,hello,0.4154952709708567,0.7107338641911087,-0.3414572312186054,112
1022,2,reading,1.0,1.0,0.0,23
1023,2,work,0.3828790253518396,0.6203125081846134,-0.4775318824721883,92
1024,2,through,0.41369076196545007,0.7055214541209126,-0.34881809834169736,60
1025,2,napkin,0.6858213353540457,2.183251125884624,0.780815108003602,49
1026,2,night,0.313551338377294,0.45657415002332824,-0.7840041605422355,136
1027,2,either,0.22719863772862725,0.293962043158041,-1.2243046248828335,23
1028,2,come,0.43365453993991987,0.7652348890139912,-0.2675724478213719,536
1029,2,thankyou,0.0,1.0,0.0,46
1030,2,nope,0.573928719099413,1.3472857141696148,0.29809198642026163,150
1031,2,mouse,0.8427186512118019,5.3611885861403135,1.6791857016451404,97
1032,2,medicine,0.22719863772862725,0.293962043158041,-1.2243046248828335,23
1033,2,happened,0.6029446802604642,1.518693647493217,0.41785052288711616,56
1034,2,Fraser,1.0,1.0,0.0,140
1035,2,mailman,0.2841247002398082,0.3968590035644413,-0.9241742161268492,22
1036,2,eat,0.5730324557801856,1.3433898068512349,0.2951961262464616,753
1037,2,pin,0.6529656222390237,1.8816849173235812,0.6321676080841304,25
1038,2,uhuh,0.6535802965792411,1.8873217977425025,0.6351587858919173,128
