,child_sex,word,freq
609,male,Mrs,38
610,male,asleep,37
611,male,must,184
612,male,pot,26
613,male,stump,20
614,male,hitting,36
615,male,disappeared,25
616,male,ho,26
617,male,anything,363
618,male,sound,133
619,male,ta,55
620,male,tape,734
621,male,grape,21
622,male,sticky,30
623,male,uncle,24
624,male,Bro,51
625,male,crying,77
626,male,tighter,21
627,male,hour,54
628,male,own,116
629,male,either,133
630,male,nine,162
631,male,think,2707
632,male,then,2628
633,male,hasta,121
634,male,napkin,25
635,male,point,31
636,male,ntuu,29
637,male,blows,24
638,male,indian,39
639,male,sing,107
640,male,Jedi,104
641,male,looking,160
642,male,cream,142
643,male,walk,407
644,male,gone,149
645,male,is,11867
646,male,made,499
647,male,penny,82
648,male,angry,21
649,male,bus,196
650,male,change,113
651,male,number,210
652,male,lick,32
653,male,eating,212
654,male,pop,49
655,male,read,376
656,male,special,108
657,male,picture,195
658,male,left,132
659,male,chin,29
660,male,bag,123
661,male,didn't,1121
662,male,belt,50
663,male,high,129
664,male,boy,1012
665,male,shelf,31
666,male,bites,22
667,male,jo,21
668,male,throw,555
669,male,uhuh,282
670,male,chickens,30
671,male,turtle,67
672,male,sign,28
673,male,upset,20
674,male,m,43
675,male,buy,266
676,male,river,38
677,male,words,294
678,male,hurts,76
679,male,leaves,115
680,male,jack,35
681,male,somebody's,22
682,male,arms,89
683,male,win,36
684,male,spinners,21
685,male,we,5508
686,male,bite,516
687,male,sea,21
688,male,school,645
689,male,cash,43
690,male,monkey,147
691,male,pretending,33
692,male,end,236
693,male,pussy,50
694,male,sleep,261
695,male,tummy,163
696,male,diapers,43
697,male,cows,32
698,male,Sunday,38
699,male,weird,27
700,male,welcome,137
701,male,hum,85
702,male,coughs,26
703,male,Rossy,89
704,male,bagels,51
705,male,arrow,24
706,male,shirt,160
707,male,barn,37
708,male,clean,127
709,male,eyes,139
710,male,everyone,39
711,male,Miss,25
712,male,hanging,37
713,male,shall,58
714,male,tires,22
715,male,dog,175
716,male,station,26
717,male,opened,34
718,male,spit,27
719,male,present,77
720,male,have,4251
721,male,toes,21
722,male,soup,57
723,male,Halloween,43
724,male,haunted,20
725,male,hippo,54
726,male,changed,27
727,male,fat,71
728,male,thing,515
729,male,couldn't,136
730,male,each_other,39
731,male,problem,103
732,male,was,3281
733,male,looked,58
734,male,turned,133
735,male,regular,23
736,male,d,22
737,male,burn,32
738,male,brown,28
739,male,called,351
740,male,twenty,75
741,male,nuts,21
742,male,picnic,20
743,male,boys,325
744,male,after,453
745,male,Sandra,27
746,male,names,119
747,male,song,78
748,male,cartoons,47
749,male,cup,292
750,male,spaghetti,33
751,male,questions,27
752,male,whoops,74
753,male,out,1693
754,male,beach,77
755,male,even,363
756,male,goodbye,33
757,male,mustache,55
758,male,playing,218
759,male,he'll,93
760,male,yellow,141
761,male,Daddy'll,39
762,male,sleepy,27
763,male,tikatika,20
764,male,donkey,28
765,male,teacher,58
766,male,few,44
767,male,geese,67
768,male,telephone,47
769,male,oven,20
770,male,would,1643
771,male,pieces,95
772,male,floor,218
773,male,screws,20
774,male,under,135
775,male,we've,63
