,decade,word,pfgw,freq,OR,LOR
184,70s,Saturday,0.47026174537529025,47,0.8877168322524998,-0.11910246944237035
185,70s,seen,0.36938043845829743,147,0.5856706494465903,-0.5349976790652302
186,70s,Daddy,0.4936478745338759,820,0.9748779043542927,-0.02544304212904761
187,70s,patting,0.9007838359661923,20,9.079467406096462,2.2060155351766393
188,70s,carriage,0.9774660369530159,44,43.38327971400183,3.770074106828601
189,70s,goats,0.9173318629827624,24,11.097268632399452,2.4066990088851044
190,70s,sink,0.44401695259418617,43,0.7986037680798297,-0.2248903660072358
191,70s,shows,0.23968431496128015,21,0.3152322175264417,-1.1544457132572028
192,70s,or,0.5930201182515685,1496,1.4584184014875181,0.3773525618887808
193,70s,hear,0.6821424061940693,491,2.1472870105432285,0.7642051897681769
194,70s,juice,0.7573700089829402,217,3.122614011499925,1.1386704752413046
195,70s,reach,0.4331791409456835,58,0.7642069988928247,-0.2689165855542951
196,70s,arm,0.9055123338742079,84,9.585476202648127,2.2602490573342435
197,70s,Micah,0.0,40,1.0,0.0
198,70s,forgot,0.3678836987370336,82,0.5819472998457222,-0.5413753854438672
199,70s,cars,0.7123205915503972,76,2.4763463490036823,0.9067842275129245
200,70s,wipe,0.428368258552705,61,0.7493571962529814,-0.28853951161038516
201,70s,bananas,0.3428755569465849,44,0.5217588578545249,-0.6505497559681236
202,70s,diaper,0.7675205564645554,94,3.301985023730822,1.1945238099730602
203,70s,lick,0.2062463849448975,83,0.2597965858208323,-1.347856316399224
204,70s,spread,0.15498732323445488,26,0.18340376497592004,-1.6960651906032
205,70s,make,0.5149746184835992,1759,1.0619262012193447,0.060084430027914054
206,70s,trees,0.6250014322472073,61,1.6667577863582153,0.5108802940864706
207,70s,bag,0.42160541816173186,267,0.7288265090494519,-0.31631956013936685
208,70s,player,0.25164228865394483,20,0.336248763497707,-1.089904025403089
209,70s,Ann,0.06575223359102139,46,0.07037095834688781,-2.6539746244110667
210,70s,win,0.08064561436482769,25,0.0877140059582092,-2.433673689296918
211,70s,terrific,0.9173318629827624,24,11.097268632399452,2.4066990088851044
212,70s,jumped,0.4709269934915245,32,0.890093052334163,-0.11642926853680194
