,embeddings,r,p
104,Word2Vec,0.12943025986117251,4.64316440639917e-08
105,Word2Vec,0.20805964841376107,9.22482486575252e-19
106,Word2Vec,0.1011473519709709,2.0139479179001825e-05
107,Word2Vec,0.13022631552624483,3.8334458851790114e-08
108,Word2Vec,0.14036112875649215,3.022103554858557e-09
109,Word2Vec,0.12807365788786745,6.419405398036675e-08
110,Word2Vec,0.13431752970852398,1.4060311577616577e-08
111,Word2Vec,0.18950153606386774,8.990376455796624e-16
112,Word2Vec,0.12809826224128262,6.381990796894208e-08
113,Word2Vec,0.15027973335931544,2.096180050763065e-10
114,Word2Vec,0.18866042199794658,1.2086365674937113e-15
115,Word2Vec,0.24560507255370193,9.947350560972539e-26
116,Word2Vec,0.13418874240487458,1.4518051065354353e-08
117,Word2Vec,0.07624187445083819,0.001327317785832692
118,Word2Vec,0.16536308150761295,2.552651875214195e-12
119,Word2Vec,0.19255630606814889,3.033847732285776e-16
120,Word2Vec,0.22395855907092663,1.4705496218383446e-21
121,Word2Vec,0.13261833616672922,2.1404820989237538e-08
122,Word2Vec,0.150694839257383,1.8672724259572197e-10
123,Word2Vec,0.2389241019513425,2.1367603694275446e-24
124,Word2Vec,0.242205845972984,4.792050628290678e-25
125,Word2Vec,0.13441360299614538,1.3727999416220982e-08
126,Word2Vec,0.084173538395879,0.0003924836708572709
127,Word2Vec,0.18725679238103657,1.9743951884965912e-15
128,Word2Vec,0.039731090956214625,0.0947176718416551
129,Word2Vec,0.22138546113060625,4.317940818083802e-21
130,Word2Vec,0.05887428318017239,0.013237285983328843
131,Word2Vec,0.2536090564856656,2.2287014126271466e-27
132,Word2Vec,0.251507337270782,6.122712766526234e-27
133,Word2Vec,0.19860154564847501,3.349648171495593e-17
134,Word2Vec,0.25573139168981424,7.956085511445429e-28
135,Word2Vec,0.20421408386178747,4.0601517913654055e-18
136,Word2Vec,0.170854072487953,4.612455794481714e-13
137,Word2Vec,0.09595332435043259,5.2688780371572844e-05
138,Word2Vec,0.18616694235803177,2.8825780237930294e-15
139,Word2Vec,0.08612864853475072,0.0002859208013079048
140,Word2Vec,0.12481901968055804,1.377592961224647e-07
141,Word2Vec,0.12976099405502686,4.288421783345174e-08
142,Word2Vec,0.10838134251826152,4.87730219074423e-06
143,Word2Vec,0.16553800227172633,2.4193721360034494e-12
144,Word2Vec,0.15146355305239112,1.5060506623796212e-10
145,Word2Vec,0.10594556725673167,7.943462622994932e-06
146,Word2Vec,0.14842802459594617,3.497565396021452e-10
147,Word2Vec,0.0976728950089294,3.8521295253689606e-05
148,Word2Vec,0.13133601424028793,2.929156957054872e-08
149,Word2Vec,0.1327667651247252,2.0637597114783135e-08
150,Word2Vec,0.1787343831739527,3.5811966352857875e-14
151,Word2Vec,0.10156825135886227,1.8591180509766777e-05
152,Word2Vec,0.12321114017479715,1.994785174454797e-07
153,Word2Vec,0.1910662067893283,5.16551973628065e-16
154,Word2Vec,0.05357072362266878,0.024207500867175824
155,Word2Vec,0.12486461609337121,1.3631140444275645e-07
156,Word2Vec,0.2190115350330789,1.1526093843254737e-20
157,Word2Vec,0.07860919079242,0.0009330171827105792
158,Word2Vec,0.16720085771389273,1.4489621996816843e-12
159,Word2Vec,0.10439752929959895,1.077160665780174e-05
160,Word2Vec,0.21133434254139682,2.5516509214955467e-19
161,Word2Vec,0.3127531106175656,1.829039329065323e-41
162,Word2Vec,0.135108385617075,1.1541662630962009e-08
163,Word2Vec,0.2566339216654862,5.119086049908018e-28
164,Word2Vec,0.08992172054660372,0.00015178337970533928
165,Word2Vec,0.1644000052007943,3.4258345338856133e-12
166,Word2Vec,0.1813524337332215,1.4923233835737143e-14
167,Word2Vec,0.10206010295935355,1.6925392318403863e-05
168,Word2Vec,0.17461174113677463,1.3838985719020512e-13
169,Word2Vec,0.14016805220654358,3.1775212424152095e-09
170,Word2Vec,0.03668463725558482,0.12287885943928764
171,Word2Vec,0.17469216681645933,1.3482995477554707e-13
172,Word2Vec,0.17188934630670755,3.3193505680286065e-13
173,Word2Vec,0.09281143789271677,9.214785301155146e-05
174,Word2Vec,0.1731362781445404,2.2273439798253922e-13
175,Word2Vec,0.12668228950709334,8.91828023317678e-08
176,Word2Vec,0.13828697621650127,5.160877834709476e-09
177,Word2Vec,0.22365695725346654,1.669608907002957e-21
178,Word2Vec,0.09440891692730473,6.949914641077952e-05
179,Word2Vec,0.17964600332015365,2.6442437561510213e-14
180,Word2Vec,0.1493838372736635,2.6874747834385824e-10
181,Word2Vec,0.12917570643606846,4.935391462006147e-08
182,Word2Vec,0.20869054157934203,7.213607579396446e-19
183,Word2Vec,0.1230501365983352,2.0695888408809934e-07
184,Word2Vec,0.08702437780921579,0.00024675549934975266
185,Word2Vec,0.1281037793828557,6.373630177300431e-08
186,Word2Vec,0.14711861443848798,5.004096342072989e-10
187,Word2Vec,0.17758609099453013,5.235618758122463e-14
188,Word2Vec,0.19417792461099023,1.6917438965134305e-16
189,Word2Vec,0.17496251082081035,1.2351025676761462e-13
190,Word2Vec,0.0938954171682247,7.61320269604323e-05
191,Word2Vec,0.17905558271352848,3.2188055083169513e-14
192,Word2Vec,0.20766728538203252,1.0745051284368085e-18
193,Word2Vec,0.18374562987127763,6.627297639628118e-15
194,Word2Vec,0.23968174142166374,1.5161362445757575e-24
195,Word2Vec,0.2617367272965534,4.093792031928929e-29
196,Word2Vec,0.2546339413583381,1.3568932257862728e-27
197,Word2Vec,0.11005595118160912,3.466642084052134e-06
198,Word2Vec,0.1695645507138612,6.928889792752435e-13
199,Word2Vec,0.13860814821777256,4.7529046447042555e-09
200,Word2Vec,0.06633462010759422,0.005240083524146591
201,Word2Vec,0.12364368010163682,1.8065251164496408e-07
202,Word2Vec,0.10225799923655066,1.6296104303487913e-05
203,Word2Vec,0.14888318049567878,3.0858170962208517e-10
204,Word2Vec,0.13371571321518744,1.6326721578817984e-08
205,Word2Vec,0.19110533221908127,5.094124544120701e-16
206,Word2Vec,0.19920412574907978,2.6785476725862556e-17
207,Word2Vec,0.13238365630427662,2.2674638081471004e-08
208,Word2Vec,0.1907079913959414,5.866705679126713e-16
209,Word2Vec,0.13574444018245943,9.839271110766004e-09
210,Word2Vec,0.1826889913749256,9.496736004454647e-15
211,Word2Vec,0.14888516440381905,3.084130311077298e-10
212,Word2Vec,0.014855586760926784,0.5322416313534489
213,Word2Vec,0.16839610448255385,9.991217412740369e-13
214,Word2Vec,0.13614315315591904,8.899288796682847e-09
215,Word2Vec,0.18675493598732187,2.3509159822004552e-15
216,Word2Vec,0.2854130147458828,1.5790303527744226e-34
217,Word2Vec,0.12253632443596693,2.3268658725833955e-07
218,Word2Vec,0.19189148010628873,3.848959347071197e-16
219,Word2Vec,0.11167430228878764,2.4806959909351226e-06
220,Word2Vec,0.1588710577127872,1.7932708881374803e-11
221,Word2Vec,0.13477605571712575,1.2541579775410006e-08
222,Word2Vec,0.10579030047984281,8.191416645011911e-06
223,Word2Vec,0.07044530956712876,0.0030236702954947645
224,Word2Vec,0.09743094262471032,4.026930970261605e-05
225,Word2Vec,0.18074293215379772,1.831804901795521e-14
226,Word2Vec,0.17319232809081206,2.1876041774453764e-13
227,Word2Vec,0.21348727599474643,1.0834207083498015e-19
228,Word2Vec,0.15615133769870176,3.964003959522133e-11
229,Word2Vec,0.1230515528415627,2.0689191843406629e-07
230,Word2Vec,0.19195299224543771,3.765275618653701e-16
231,Word2Vec,0.162922311299239,5.3621789038020814e-12
232,Word2Vec,0.09954450683146716,2.7234362797406067e-05
233,Word2Vec,0.09079820063020295,0.00013066100185530976
234,Word2Vec,0.12001019413118451,4.111171522044367e-07
235,Word2Vec,0.14203542000502128,1.9507597757036614e-09
236,Word2Vec,0.16471948595166822,3.1078777928147584e-12
237,Word2Vec,0.08172202839017349,0.0005785280979255762
